,Unnamed: 0,index,word,contain_ceo,last_aei,length,space,start
0,0,0,South Korean,0,0,12,1,0
1,1,1,South Korean,0,0,12,1,0
2,2,2,South Korean,0,0,12,1,0
3,3,3,South Korean,0,0,12,1,0
4,4,4,South Korean,0,0,12,1,0
5,5,5,South Korean,0,0,12,1,0
6,6,6,South Korean,0,0,12,1,0
7,7,7,South Korean,0,0,12,1,0
8,8,21,White House,0,1,11,1,0
9,9,21,Senate Minority,0,0,15,1,0
10,10,21,Leader Mitch,0,0,12,1,0
11,11,21,House Speaker,0,0,13,1,0
12,12,21,John Boehner,0,0,12,1,0
13,13,22,White House,0,1,11,1,0
14,14,22,Senate Minority,0,0,15,1,0
15,15,22,Leader Mitch,0,0,12,1,0
16,16,22,House Speaker,0,0,13,1,0
17,17,22,John Boehner,0,0,12,1,0
18,18,23,White House,0,1,11,1,0
19,19,23,Senate Minority,0,0,15,1,0
20,20,23,Leader Mitch,0,0,12,1,0
21,21,23,House Speaker,0,0,13,1,0
22,22,23,John Boehner,0,0,12,1,0
23,23,24,White House,0,1,11,1,0
24,24,24,Senate Minority,0,0,15,1,0
25,25,24,Leader Mitch,0,0,12,1,0
26,26,24,House Speaker,0,0,13,1,0
27,27,24,John Boehner,0,0,12,1,0
28,28,25,White House,0,1,11,1,0
29,29,25,Senate Minority,0,0,15,1,0
30,30,25,Leader Mitch,0,0,12,1,0
31,31,25,House Speaker,0,0,13,1,0
32,32,25,John Boehner,0,0,12,1,0
33,33,26,White House,0,1,11,1,0
34,34,26,Senate Minority,0,0,15,1,0
35,35,26,Leader Mitch,0,0,12,1,0
36,36,26,House Speaker,0,0,13,1,0
37,37,26,John Boehner,0,0,12,1,0
38,38,27,White House,0,1,11,1,0
39,39,27,Senate Minority,0,0,15,1,0
40,40,27,Leader Mitch,0,0,12,1,0
41,41,27,House Speaker,0,0,13,1,0
42,42,27,John Boehner,0,0,12,1,0
43,43,28,White House,0,1,11,1,0
44,44,28,Senate Minority,0,0,15,1,0
45,45,28,Leader Mitch,0,0,12,1,0
46,46,28,House Speaker,0,0,13,1,0
47,47,28,John Boehner,0,0,12,1,0
48,48,29,White House,0,1,11,1,0
49,49,29,Senate Minority,0,0,15,1,0
50,50,29,Leader Mitch,0,0,12,1,0
51,51,29,House Speaker,0,0,13,1,0
52,52,29,John Boehner,0,0,12,1,0
53,53,30,White House,0,1,11,1,0
54,54,30,Senate Minority,0,0,15,1,0
55,55,30,Leader Mitch,0,0,12,1,0
56,56,30,House Speaker,0,0,13,1,0
57,57,30,John Boehner,0,0,12,1,0
58,58,31,White House,0,1,11,1,0
59,59,31,Senate Minority,0,0,15,1,0
60,60,31,Leader Mitch,0,0,12,1,0
61,61,31,House Speaker,0,0,13,1,0
62,62,31,John Boehner,0,0,12,1,0
63,63,32,White House,0,1,11,1,0
64,64,32,Senate Minority,0,0,15,1,0
65,65,32,Leader Mitch,0,0,12,1,0
66,66,32,House Speaker,0,0,13,1,0
67,67,32,John Boehner,0,0,12,1,0
68,68,33,White House,0,1,11,1,0
69,69,33,Senate Minority,0,0,15,1,0
70,70,33,Leader Mitch,0,0,12,1,0
71,71,33,House Speaker,0,0,13,1,0
72,72,33,John Boehner,0,0,12,1,0
73,73,34,White House,0,1,11,1,0
74,74,34,Senate Minority,0,0,15,1,0
75,75,34,Leader Mitch,0,0,12,1,0
76,76,34,House Speaker,0,0,13,1,0
77,77,34,John Boehner,0,0,12,1,0
78,78,35,White House,0,1,11,1,0
79,79,35,Senate Minority,0,0,15,1,0
80,80,35,Leader Mitch,0,0,12,1,0
81,81,35,House Speaker,0,0,13,1,0
82,82,35,John Boehner,0,0,12,1,0
83,83,36,White House,0,1,11,1,0
84,84,36,Senate Minority,0,0,15,1,0
85,85,36,Leader Mitch,0,0,12,1,0
86,86,36,House Speaker,0,0,13,1,0
87,87,36,John Boehner,0,0,12,1,0
88,88,37,White House,0,1,11,1,0
89,89,37,Senate Minority,0,0,15,1,0
90,90,37,Leader Mitch,0,0,12,1,0
91,91,37,House Speaker,0,0,13,1,0
92,92,37,John Boehner,0,0,12,1,0
93,93,38,White House,0,1,11,1,0
94,94,38,Senate Minority,0,0,15,1,0
95,95,38,Leader Mitch,0,0,12,1,0
96,96,38,House Speaker,0,0,13,1,0
97,97,38,John Boehner,0,0,12,1,0
98,98,39,White House,0,1,11,1,0
99,99,39,Senate Minority,0,0,15,1,0
100,100,39,Leader Mitch,0,0,12,1,0
101,101,39,House Speaker,0,0,13,1,0
102,102,39,John Boehner,0,0,12,1,0
103,103,40,White House,0,1,11,1,0
104,104,40,Senate Minority,0,0,15,1,0
105,105,40,Leader Mitch,0,0,12,1,0
106,106,40,House Speaker,0,0,13,1,0
107,107,40,John Boehner,0,0,12,1,0
108,108,41,White House,0,1,11,1,0
109,109,41,Senate Minority,0,0,15,1,0
110,110,41,Leader Mitch,0,0,12,1,0
111,111,41,House Speaker,0,0,13,1,0
112,112,41,John Boehner,0,0,12,1,0
113,113,42,White House,0,1,11,1,0
114,114,42,Senate Minority,0,0,15,1,0
115,115,42,Leader Mitch,0,0,12,1,0
116,116,42,House Speaker,0,0,13,1,0
117,117,42,John Boehner,0,0,12,1,0
118,118,43,White House,0,1,11,1,0
119,119,43,Senate Minority,0,0,15,1,0
120,120,43,Leader Mitch,0,0,12,1,0
121,121,43,House Speaker,0,0,13,1,0
122,122,43,John Boehner,0,0,12,1,0
123,123,44,White House,0,1,11,1,0
124,124,44,Senate Minority,0,0,15,1,0
125,125,44,Leader Mitch,0,0,12,1,0
126,126,44,House Speaker,0,0,13,1,0
127,127,44,John Boehner,0,0,12,1,0
128,128,45,White House,0,1,11,1,0
129,129,45,Senate Minority,0,0,15,1,0
130,130,45,Leader Mitch,0,0,12,1,0
131,131,45,House Speaker,0,0,13,1,0
132,132,45,John Boehner,0,0,12,1,0
133,133,46,White House,0,1,11,1,0
134,134,46,Senate Minority,0,0,15,1,0
135,135,46,Leader Mitch,0,0,12,1,0
136,136,46,House Speaker,0,0,13,1,0
137,137,46,John Boehner,0,0,12,1,0
138,138,47,White House,0,1,11,1,0
139,139,47,Senate Minority,0,0,15,1,0
140,140,47,Leader Mitch,0,0,12,1,0
141,141,47,House Speaker,0,0,13,1,0
142,142,47,John Boehner,0,0,12,1,0
143,143,48,White House,0,1,11,1,0
144,144,48,Senate Minority,0,0,15,1,0
145,145,48,Leader Mitch,0,0,12,1,0
146,146,48,House Speaker,0,0,13,1,0
147,147,48,John Boehner,0,0,12,1,0
148,148,49,White House,0,1,11,1,0
149,149,49,Senate Minority,0,0,15,1,0
150,150,49,Leader Mitch,0,0,12,1,0
151,151,49,House Speaker,0,0,13,1,0
152,152,49,John Boehner,0,0,12,1,0
153,153,50,White House,0,1,11,1,0
154,154,50,Senate Minority,0,0,15,1,0
155,155,50,Leader Mitch,0,0,12,1,0
156,156,50,House Speaker,0,0,13,1,0
157,157,50,John Boehner,0,0,12,1,0
158,158,51,Drudge Report,0,0,13,1,0
159,159,51,Drudge Report,0,0,13,1,0
160,160,52,Drudge Report,0,0,13,1,0
161,161,52,Drudge Report,0,0,13,1,0
162,162,53,Drudge Report,0,0,13,1,0
163,163,53,Drudge Report,0,0,13,1,0
164,164,54,Drudge Report,0,0,13,1,0
165,165,54,Drudge Report,0,0,13,1,0
166,166,55,Drudge Report,0,0,13,1,0
167,167,55,Drudge Report,0,0,13,1,0
168,168,56,Drudge Report,0,0,13,1,0
169,169,56,Drudge Report,0,0,13,1,0
170,170,57,Drudge Report,0,0,13,1,0
171,171,57,Drudge Report,0,0,13,1,0
172,172,58,Drudge Report,0,0,13,1,0
173,173,58,Drudge Report,0,0,13,1,0
174,174,59,Drudge Report,0,0,13,1,0
175,175,59,Drudge Report,0,0,13,1,0
176,176,60,Drudge Report,0,0,13,1,0
177,177,60,Drudge Report,0,0,13,1,0
178,178,61,Drudge Report,0,0,13,1,0
179,179,61,Drudge Report,0,0,13,1,0
180,180,62,Drudge Report,0,0,13,1,0
181,181,62,Drudge Report,0,0,13,1,0
182,182,63,Drudge Report,0,0,13,1,0
183,183,63,Drudge Report,0,0,13,1,0
184,184,64,Drudge Report,0,0,13,1,0
185,185,64,Drudge Report,0,0,13,1,0
186,186,65,Drudge Report,0,0,13,1,0
187,187,65,Drudge Report,0,0,13,1,0
188,188,66,South Korea,0,1,11,1,1
189,189,67,South Korea,0,1,11,1,1
190,190,68,South Korea,0,1,11,1,1
191,191,69,South Korea,0,1,11,1,1
192,192,70,South Korea,0,1,11,1,1
193,193,71,South Korea,0,1,11,1,1
194,194,72,South Korea,0,1,11,1,1
195,195,73,South Korea,0,1,11,1,1
196,196,74,South Korea,0,1,11,1,1
197,197,75,South Korea,0,1,11,1,1
198,198,76,South Korea,0,1,11,1,1
199,199,77,South Korea,0,1,11,1,1
200,200,78,South Korea,0,1,11,1,1
201,201,79,South Korea,0,1,11,1,1
202,202,80,South Korea,0,1,11,1,1
203,203,81,South Korea,0,1,11,1,1
204,204,82,South Korea,0,1,11,1,1
205,205,83,South Korea,0,1,11,1,1
206,206,84,South Korea,0,1,11,1,1
207,207,85,South Korea,0,1,11,1,1
208,208,86,South Korea,0,1,11,1,0
209,209,86,Purchasing Managers,0,0,19,1,0
210,210,87,South Korea,0,1,11,1,0
211,211,87,Purchasing Managers,0,0,19,1,0
212,212,88,South Korea,0,1,11,1,0
213,213,88,Purchasing Managers,0,0,19,1,0
214,214,89,South Korea,0,1,11,1,0
215,215,89,Purchasing Managers,0,0,19,1,0
216,216,90,South Korea,0,1,11,1,0
217,217,90,Purchasing Managers,0,0,19,1,0
218,218,91,South Korea,0,1,11,1,0
219,219,91,Purchasing Managers,0,0,19,1,0
220,220,92,South Korea,0,1,11,1,0
221,221,92,Purchasing Managers,0,0,19,1,0
222,222,93,South Korea,0,1,11,1,0
223,223,93,Purchasing Managers,0,0,19,1,0
224,224,94,South Korea,0,1,11,1,0
225,225,94,Purchasing Managers,0,0,19,1,0
226,226,95,South Korea,0,1,11,1,0
227,227,95,Purchasing Managers,0,0,19,1,0
228,228,96,South Korea,0,1,11,1,0
229,229,96,Purchasing Managers,0,0,19,1,0
230,230,97,South Korea,0,1,11,1,0
231,231,97,Purchasing Managers,0,0,19,1,0
232,232,98,South Korea,0,1,11,1,0
233,233,98,Purchasing Managers,0,0,19,1,0
234,234,99,South Korea,0,1,11,1,0
235,235,99,Purchasing Managers,0,0,19,1,0
236,236,100,South Korea,0,1,11,1,0
237,237,100,Purchasing Managers,0,0,19,1,0
238,238,101,South Korea,0,1,11,1,0
239,239,101,Purchasing Managers,0,0,19,1,0
240,240,102,South Korea,0,1,11,1,0
241,241,102,Purchasing Managers,0,0,19,1,0
242,242,103,South Korea,0,1,11,1,0
243,243,103,Purchasing Managers,0,0,19,1,0
244,244,104,South Korea,0,1,11,1,0
245,245,104,Purchasing Managers,0,0,19,1,0
246,246,105,South Korea,0,1,11,1,0
247,247,105,Purchasing Managers,0,0,19,1,0
248,248,106,South Korea,0,1,11,1,0
249,249,106,Purchasing Managers,0,0,19,1,0
250,250,107,South Korea,0,1,11,1,0
251,251,107,Purchasing Managers,0,0,19,1,0
252,252,108,South Korea,0,1,11,1,0
253,253,108,Purchasing Managers,0,0,19,1,0
254,254,109,South Korea,0,1,11,1,0
255,255,109,Purchasing Managers,0,0,19,1,0
256,256,110,South Korea,0,1,11,1,0
257,257,110,Purchasing Managers,0,0,19,1,0
258,258,111,South Korea,0,1,11,1,0
259,259,111,Purchasing Managers,0,0,19,1,0
260,260,112,South Korea,0,1,11,1,0
261,261,112,Purchasing Managers,0,0,19,1,0
262,262,113,South Korea,0,1,11,1,0
263,263,113,Purchasing Managers,0,0,19,1,0
264,264,114,South Korea,0,1,11,1,0
265,265,114,Purchasing Managers,0,0,19,1,0
266,266,186,Fiscal Cliff,0,0,12,1,0
267,267,187,Fiscal Cliff,0,0,12,1,0
268,268,188,Fiscal Cliff,0,0,12,1,0
269,269,189,Fiscal Cliff,0,0,12,1,0
270,270,190,Fiscal Cliff,0,0,12,1,0
271,271,191,Fiscal Cliff,0,0,12,1,0
272,272,192,Fiscal Cliff,0,0,12,1,0
273,273,193,Fiscal Cliff,0,0,12,1,0
274,274,194,Fiscal Cliff,0,0,12,1,0
275,275,195,Fiscal Cliff,0,0,12,1,0
276,276,196,Fiscal Cliff,0,0,12,1,0
277,277,197,Fiscal Cliff,0,0,12,1,0
278,278,198,Fiscal Cliff,0,0,12,1,0
279,279,199,Fiscal Cliff,0,0,12,1,0
280,280,200,Fiscal Cliff,0,0,12,1,0
281,281,201,Fiscal Cliff,0,0,12,1,0
282,282,202,Fiscal Cliff,0,0,12,1,0
283,283,203,Fiscal Cliff,0,0,12,1,0
284,284,204,Fiscal Cliff,0,0,12,1,0
285,285,205,Fiscal Cliff,0,0,12,1,0
286,286,206,Fiscal Cliff,0,0,12,1,0
287,287,207,Fiscal Cliff,0,0,12,1,0
288,288,208,Fiscal Cliff,0,0,12,1,0
289,289,209,Fiscal Cliff,0,0,12,1,0
290,290,210,Hong Kong,0,0,9,1,1
291,291,211,Hong Kong,0,0,9,1,1
292,292,212,Hong Kong,0,0,9,1,1
293,293,213,Hong Kong,0,0,9,1,1
