,index,word,contain_1,contain_2,contain_3,contain_4,contain_5,length,num_space,start,end
0,0,South Korean PMI,0,0,0,0,0,16,2,0,0
1,0, PMI,0,0,0,0,0,4,1,0,0
2,1,South Korean PMI,0,0,0,0,0,16,2,0,0
3,1, PMI,0,0,0,0,0,4,1,0,0
4,2,South Korean PMI,0,0,0,0,0,16,2,0,0
5,2, PMI,0,0,0,0,0,4,1,0,0
6,3,South Korean PMI,0,0,0,0,0,16,2,0,0
7,3, PMI,0,0,0,0,0,4,1,0,0
8,4,South Korean PMI,0,0,0,0,0,16,2,0,0
9,4, PMI,0,0,0,0,0,4,1,0,0
10,5,South Korean PMI,0,0,0,0,0,16,2,0,0
11,5, PMI,0,0,0,0,0,4,1,0,0
12,6,South Korean PMI,0,0,0,0,0,16,2,0,0
13,6, PMI,0,0,0,0,0,4,1,0,0
14,7,South Korean PMI,0,0,0,0,0,16,2,0,0
15,7, PMI,0,0,0,0,0,4,1,0,0
16,13,December PMI,0,0,0,0,0,12,1,0,0
17,13, PMI,0,0,0,0,0,4,1,0,0
18,14,December PMI,0,0,0,0,0,12,1,0,0
19,14, PMI,0,0,0,0,0,4,1,0,0
20,15,December PMI,0,0,0,0,0,12,1,0,0
21,15, PMI,0,0,0,0,0,4,1,0,0
22,16,December PMI,0,0,0,0,0,12,1,0,0
23,16, PMI,0,0,0,0,0,4,1,0,0
24,17,December PMI,0,0,0,0,0,12,1,0,0
25,17, PMI,0,0,0,0,0,4,1,0,0
26,18,December PMI,0,0,0,0,0,12,1,0,0
27,18, PMI,0,0,0,0,0,4,1,0,0
28,19,December PMI,0,0,0,0,0,12,1,0,0
29,19, PMI,0,0,0,0,0,4,1,0,0
30,20,December PMI,0,0,0,0,0,12,1,0,0
31,20, PMI,0,0,0,0,0,4,1,0,0
32,21,White House,0,0,0,1,0,11,1,0,0
33,21, House,0,0,0,1,0,6,1,0,0
34,22,White House,0,0,0,1,0,11,1,0,0
35,22, House,0,0,0,1,0,6,1,0,0
36,23,White House,0,0,0,1,0,11,1,0,0
37,23, House,0,0,0,1,0,6,1,0,0
38,24,White House,0,0,0,1,0,11,1,0,0
39,24, House,0,0,0,1,0,6,1,0,0
40,25,White House,0,0,0,1,0,11,1,0,0
41,25, House,0,0,0,1,0,6,1,0,0
42,26,White House,0,0,0,1,0,11,1,0,0
43,26, House,0,0,0,1,0,6,1,0,0
44,27,White House,0,0,0,1,0,11,1,0,0
45,27, House,0,0,0,1,0,6,1,0,0
46,28,White House,0,0,0,1,0,11,1,0,0
47,28, House,0,0,0,1,0,6,1,0,0
48,29,White House,0,0,0,1,0,11,1,0,0
49,29, House,0,0,0,1,0,6,1,0,0
50,30,White House,0,0,0,1,0,11,1,0,0
51,30, House,0,0,0,1,0,6,1,0,0
52,31,White House,0,0,0,1,0,11,1,0,0
53,31, House,0,0,0,1,0,6,1,0,0
54,32,White House,0,0,0,1,0,11,1,0,0
55,32, House,0,0,0,1,0,6,1,0,0
56,33,White House,0,0,0,1,0,11,1,0,0
57,33, House,0,0,0,1,0,6,1,0,0
58,34,White House,0,0,0,1,0,11,1,0,0
59,34, House,0,0,0,1,0,6,1,0,0
60,35,White House,0,0,0,1,0,11,1,0,0
61,35, House,0,0,0,1,0,6,1,0,0
62,36,White House,0,0,0,1,0,11,1,0,0
63,36, House,0,0,0,1,0,6,1,0,0
64,37,White House,0,0,0,1,0,11,1,0,0
65,37, House,0,0,0,1,0,6,1,0,0
66,38,White House,0,0,0,1,0,11,1,0,0
67,38, House,0,0,0,1,0,6,1,0,0
68,39,White House,0,0,0,1,0,11,1,0,0
69,39, House,0,0,0,1,0,6,1,0,0
70,40,White House,0,0,0,1,0,11,1,0,0
71,40, House,0,0,0,1,0,6,1,0,0
72,41,White House,0,0,0,1,0,11,1,0,0
73,41, House,0,0,0,1,0,6,1,0,0
74,42,White House,0,0,0,1,0,11,1,0,0
75,42, House,0,0,0,1,0,6,1,0,0
76,43,White House,0,0,0,1,0,11,1,0,0
77,43, House,0,0,0,1,0,6,1,0,0
78,44,White House,0,0,0,1,0,11,1,0,0
79,44, House,0,0,0,1,0,6,1,0,0
80,45,White House,0,0,0,1,0,11,1,0,0
81,45, House,0,0,0,1,0,6,1,0,0
82,46,White House,0,0,0,1,0,11,1,0,0
83,46, House,0,0,0,1,0,6,1,0,0
84,47,White House,0,0,0,1,0,11,1,0,0
85,47, House,0,0,0,1,0,6,1,0,0
86,48,White House,0,0,0,1,0,11,1,0,0
87,48, House,0,0,0,1,0,6,1,0,0
88,49,White House,0,0,0,1,0,11,1,0,0
89,49, House,0,0,0,1,0,6,1,0,0
90,50,White House,0,0,0,1,0,11,1,0,0
91,50, House,0,0,0,1,0,6,1,0,0
92,51,Drudge Report,0,0,0,0,0,13,1,0,0
93,51, Report,0,0,0,0,0,7,1,0,0
94,52,Drudge Report,0,0,0,0,0,13,1,0,0
95,52, Report,0,0,0,0,0,7,1,0,0
96,53,Drudge Report,0,0,0,0,0,13,1,0,0
97,53, Report,0,0,0,0,0,7,1,0,0
98,54,Drudge Report,0,0,0,0,0,13,1,0,0
99,54, Report,0,0,0,0,0,7,1,0,0
100,55,Drudge Report,0,0,0,0,0,13,1,0,0
101,55, Report,0,0,0,0,0,7,1,0,0
102,56,Drudge Report,0,0,0,0,0,13,1,0,0
103,56, Report,0,0,0,0,0,7,1,0,0
104,57,Drudge Report,0,0,0,0,0,13,1,0,0
105,57, Report,0,0,0,0,0,7,1,0,0
106,58,Drudge Report,0,0,0,0,0,13,1,0,0
107,58, Report,0,0,0,0,0,7,1,0,0
108,59,Drudge Report,0,0,0,0,0,13,1,0,0
109,59, Report,0,0,0,0,0,7,1,0,0
110,60,Drudge Report,0,0,0,0,0,13,1,0,0
111,60, Report,0,0,0,0,0,7,1,0,0
112,61,Drudge Report,0,0,0,0,0,13,1,0,0
113,61, Report,0,0,0,0,0,7,1,0,0
114,62,Drudge Report,0,0,0,0,0,13,1,0,0
115,62, Report,0,0,0,0,0,7,1,0,0
116,63,Drudge Report,0,0,0,0,0,13,1,0,0
117,63, Report,0,0,0,0,0,7,1,0,0
118,64,Drudge Report,0,0,0,0,0,13,1,0,0
119,64, Report,0,0,0,0,0,7,1,0,0
120,65,Drudge Report,0,0,0,0,0,13,1,0,0
121,65, Report,0,0,0,0,0,7,1,0,0
122,66,South Korea,0,0,0,0,0,11,1,1,0
123,66, Korea,0,0,0,0,0,6,1,0,0
124,67,South Korea,0,0,0,0,0,11,1,1,0
125,67, Korea,0,0,0,0,0,6,1,0,0
126,68,South Korea,0,0,0,0,0,11,1,1,0
127,68, Korea,0,0,0,0,0,6,1,0,0
128,69,South Korea,0,0,0,0,0,11,1,1,0
129,69, Korea,0,0,0,0,0,6,1,0,0
130,70,South Korea,0,0,0,0,0,11,1,1,0
131,70, Korea,0,0,0,0,0,6,1,0,0
132,71,South Korea,0,0,0,0,0,11,1,1,0
133,71, Korea,0,0,0,0,0,6,1,0,0
134,72,South Korea,0,0,0,0,0,11,1,1,0
135,72, Korea,0,0,0,0,0,6,1,0,0
136,73,South Korea,0,0,0,0,0,11,1,1,0
137,73, Korea,0,0,0,0,0,6,1,0,0
138,74,South Korea,0,0,0,0,0,11,1,1,0
139,74, Korea,0,0,0,0,0,6,1,0,0
140,75,South Korea,0,0,0,0,0,11,1,1,0
141,75, Korea,0,0,0,0,0,6,1,0,0
142,76,South Korea,0,0,0,0,0,11,1,1,0
143,76, Korea,0,0,0,0,0,6,1,0,0
144,77,South Korea,0,0,0,0,0,11,1,1,0
145,77, Korea,0,0,0,0,0,6,1,0,0
146,78,South Korea,0,0,0,0,0,11,1,1,0
147,78, Korea,0,0,0,0,0,6,1,0,0
148,79,South Korea,0,0,0,0,0,11,1,1,0
149,79, Korea,0,0,0,0,0,6,1,0,0
150,80,South Korea,0,0,0,0,0,11,1,1,0
151,80, Korea,0,0,0,0,0,6,1,0,0
