index,word
0,South Korean
1,South Korean
2,South Korean
3,South Korean
4,South Korean
5,South Korean
6,South Korean
7,South Korean
21,Leader Mitch
21,House Speaker
21,John Boehner
22,Leader Mitch
22,House Speaker
22,John Boehner
23,Leader Mitch
23,House Speaker
23,John Boehner
24,Leader Mitch
24,House Speaker
24,John Boehner
25,Leader Mitch
25,House Speaker
25,John Boehner
26,Leader Mitch
26,House Speaker
26,John Boehner
27,Leader Mitch
27,House Speaker
27,John Boehner
28,Leader Mitch
28,House Speaker
28,John Boehner
29,Leader Mitch
29,House Speaker
29,John Boehner
30,Leader Mitch
30,House Speaker
30,John Boehner
31,Leader Mitch
31,House Speaker
31,John Boehner
32,Leader Mitch
32,House Speaker
32,John Boehner
33,Leader Mitch
33,House Speaker
33,John Boehner
34,Leader Mitch
34,House Speaker
34,John Boehner
35,Leader Mitch
35,House Speaker
35,John Boehner
36,Leader Mitch
36,House Speaker
36,John Boehner
37,Leader Mitch
37,House Speaker
37,John Boehner
38,Leader Mitch
38,House Speaker
38,John Boehner
39,Leader Mitch
39,House Speaker
39,John Boehner
40,Leader Mitch
40,House Speaker
40,John Boehner
41,Leader Mitch
41,House Speaker
41,John Boehner
42,Leader Mitch
42,House Speaker
42,John Boehner
43,Leader Mitch
43,House Speaker
43,John Boehner
44,Leader Mitch
44,House Speaker
44,John Boehner
45,Leader Mitch
45,House Speaker
45,John Boehner
46,Leader Mitch
46,House Speaker
46,John Boehner
47,Leader Mitch
47,House Speaker
47,John Boehner
48,Leader Mitch
48,House Speaker
48,John Boehner
49,Leader Mitch
49,House Speaker
49,John Boehner
50,Leader Mitch
50,House Speaker
50,John Boehner
51,Drudge Report
51,Drudge Report
52,Drudge Report
52,Drudge Report
53,Drudge Report
53,Drudge Report
54,Drudge Report
54,Drudge Report
55,Drudge Report
55,Drudge Report
56,Drudge Report
56,Drudge Report
57,Drudge Report
57,Drudge Report
58,Drudge Report
58,Drudge Report
59,Drudge Report
59,Drudge Report
60,Drudge Report
60,Drudge Report
61,Drudge Report
61,Drudge Report
62,Drudge Report
62,Drudge Report
63,Drudge Report
63,Drudge Report
64,Drudge Report
64,Drudge Report
65,Drudge Report
65,Drudge Report
186,Fiscal Cliff
187,Fiscal Cliff
188,Fiscal Cliff
189,Fiscal Cliff
190,Fiscal Cliff
191,Fiscal Cliff
192,Fiscal Cliff
193,Fiscal Cliff
194,Fiscal Cliff
195,Fiscal Cliff
196,Fiscal Cliff
197,Fiscal Cliff
198,Fiscal Cliff
199,Fiscal Cliff
200,Fiscal Cliff
201,Fiscal Cliff
202,Fiscal Cliff
203,Fiscal Cliff
204,Fiscal Cliff
205,Fiscal Cliff
206,Fiscal Cliff
207,Fiscal Cliff
208,Fiscal Cliff
209,Fiscal Cliff
276,Fiscal Cliff
277,Fiscal Cliff
278,Fiscal Cliff
279,Fiscal Cliff
280,Fiscal Cliff
281,Fiscal Cliff
282,Fiscal Cliff
283,Fiscal Cliff
284,Fiscal Cliff
285,Fiscal Cliff
286,Fiscal Cliff
287,Fiscal Cliff
288,Fiscal Cliff
343,Great News
343,For Romney
343,Congress Just
343,Socked It
343,Fiscal Cliff
344,Great News
344,For Romney
344,Congress Just
344,Socked It
344,Fiscal Cliff
345,Great News
345,For Romney
345,Congress Just
345,Socked It
345,Fiscal Cliff
346,Great News
346,For Romney
346,Congress Just
346,Socked It
346,Fiscal Cliff
347,Great News
347,For Romney
347,Congress Just
347,Socked It
347,Fiscal Cliff
348,Great News
348,For Romney
348,Congress Just
348,Socked It
348,Fiscal Cliff
349,Great News
349,For Romney
349,Congress Just
349,Socked It
349,Fiscal Cliff
350,Great News
350,For Romney
350,Congress Just
350,Socked It
350,Fiscal Cliff
351,Great News
351,For Romney
351,Congress Just
351,Socked It
351,Fiscal Cliff
352,Great News
352,For Romney
352,Congress Just
352,Socked It
352,Fiscal Cliff
353,Great News
353,For Romney
353,Congress Just
353,Socked It
353,Fiscal Cliff
354,Great News
354,For Romney
354,Congress Just
354,Socked It
354,Fiscal Cliff
355,Great News
355,For Romney
355,Congress Just
355,Socked It
355,Fiscal Cliff
356,Great News
356,For Romney
356,Congress Just
356,Socked It
356,Fiscal Cliff
357,Great News
357,For Romney
357,Congress Just
357,Socked It
357,Fiscal Cliff
358,Great News
358,For Romney
358,Congress Just
358,Socked It
358,Fiscal Cliff
359,Great News
359,For Romney
359,Congress Just
359,Socked It
359,Fiscal Cliff
360,Great News
360,For Romney
360,Congress Just
360,Socked It
360,Fiscal Cliff
361,Great News
361,For Romney
361,Congress Just
361,Socked It
361,Fiscal Cliff
362,Great News
362,For Romney
362,Congress Just
362,Socked It
362,Fiscal Cliff
363,Great News
363,For Romney
363,Congress Just
363,Socked It
363,Fiscal Cliff
364,Great News
364,For Romney
364,Congress Just
364,Socked It
364,Fiscal Cliff
365,Great News
365,For Romney
365,Congress Just
365,Socked It
365,Fiscal Cliff
366,Great News
366,For Romney
366,Congress Just
366,Socked It
366,Fiscal Cliff
367,Great News
367,For Romney
367,Congress Just
367,Socked It
367,Fiscal Cliff
368,Great News
368,For Romney
368,Congress Just
368,Socked It
368,Fiscal Cliff
369,Great News
369,For Romney
369,Congress Just
369,Socked It
369,Fiscal Cliff
424,Mitt Romney
425,Mitt Romney
426,Mitt Romney
427,Mitt Romney
428,Mitt Romney
429,Mitt Romney
430,Mitt Romney
431,Mitt Romney
432,Mitt Romney
439,Mitt Romney
440,Mitt Romney
441,Mitt Romney
442,Mitt Romney
443,Mitt Romney
444,Mitt Romney
445,Mitt Romney
446,Mitt Romney
447,Mitt Romney
448,Mitt Romney
449,Mitt Romney
450,Mitt Romney
451,Mitt Romney
452,Mitt Romney
453,Mitt Romney
454,Mitt Romney
455,Mitt Romney
456,Mitt Romney
457,Mitt Romney
458,Mitt Romney
459,Mitt Romney
460,Mitt Romney
585,Your New
585,Tax Rates
585,Fiscal Cliff
586,Your New
586,Tax Rates
586,Fiscal Cliff
587,Your New
587,Tax Rates
587,Fiscal Cliff
588,Your New
588,Tax Rates
588,Fiscal Cliff
589,Your New
589,Tax Rates
589,Fiscal Cliff
590,Your New
590,Tax Rates
590,Fiscal Cliff
591,Your New
591,Tax Rates
591,Fiscal Cliff
592,Your New
592,Tax Rates
592,Fiscal Cliff
593,Your New
593,Tax Rates
593,Fiscal Cliff
594,Your New
594,Tax Rates
594,Fiscal Cliff
595,Your New
595,Tax Rates
595,Fiscal Cliff
596,Your New
596,Tax Rates
596,Fiscal Cliff
597,Your New
597,Tax Rates
597,Fiscal Cliff
598,Your New
598,Tax Rates
598,Fiscal Cliff
599,Your New
599,Tax Rates
599,Fiscal Cliff
600,Your New
600,Tax Rates
600,Fiscal Cliff
601,Your New
601,Tax Rates
601,Fiscal Cliff
602,Your New
602,Tax Rates
602,Fiscal Cliff
603,Your New
603,Tax Rates
603,Fiscal Cliff
604,Your New
604,Tax Rates
604,Fiscal Cliff
605,Your New
605,Tax Rates
605,Fiscal Cliff
606,Your New
606,Tax Rates
606,Fiscal Cliff
607,Your New
607,Tax Rates
607,Fiscal Cliff
608,Your New
608,Tax Rates
608,Fiscal Cliff
609,Your New
609,Tax Rates
609,Fiscal Cliff
610,Your New
610,Tax Rates
610,Fiscal Cliff
611,Your New
611,Tax Rates
611,Fiscal Cliff
651,Relief Act
652,Relief Act
653,Relief Act
654,Relief Act
655,Relief Act
656,Relief Act
657,Relief Act
658,Relief Act
659,Relief Act
660,Relief Act
661,Relief Act
662,Relief Act
663,Relief Act
664,Relief Act
665,Relief Act
666,Relief Act
667,Relief Act
668,Relief Act
669,Relief Act
670,Relief Act
671,Relief Act
672,Relief Act
673,Relief Act
674,Relief Act
675,Relief Act
676,Relief Act
677,Policy Center
678,Policy Center
679,Policy Center
680,Policy Center
681,Policy Center
682,Policy Center
683,Policy Center
684,Policy Center
685,Policy Center
686,Policy Center
687,Policy Center
688,Policy Center
689,Policy Center
690,Policy Center
691,Policy Center
692,Policy Center
693,Policy Center
694,Policy Center
695,Policy Center
696,Policy Center
697,Policy Center
698,Policy Center
699,Policy Center
700,Policy Center
701,Federal Tax
702,Federal Tax
703,Federal Tax
704,Federal Tax
