index,word
186,"MarkitUPDATE"
186,"UPDATE"
187,"MarkitUPDATE"
187,"UPDATE"
188,"MarkitUPDATE"
188,"UPDATE"
189,"MarkitUPDATE"
189,"UPDATE"
190,"MarkitUPDATE"
190,"UPDATE"
191,"MarkitUPDATE"
191,"UPDATE"
192,"MarkitUPDATE"
192,"UPDATE"
193,"MarkitUPDATE"
193,"UPDATE"
194,"MarkitUPDATE"
194,"UPDATE"
195,"MarkitUPDATE"
195,"UPDATE"
196,"MarkitUPDATE"
196,"UPDATE"
197,"MarkitUPDATE"
197,"UPDATE"
198,"MarkitUPDATE"
198,"UPDATE"
199,"MarkitUPDATE"
199,"UPDATE"
200,"MarkitUPDATE"
200,"UPDATE"
201,"MarkitUPDATE"
201,"UPDATE"
202,"MarkitUPDATE"
202,"UPDATE"
203,"MarkitUPDATE"
203,"UPDATE"
204,"MarkitUPDATE"
204,"UPDATE"
205,"MarkitUPDATE"
205,"UPDATE"
206,"MarkitUPDATE"
206,"UPDATE"
207,"MarkitUPDATE"
207,"UPDATE"
208,"MarkitUPDATE"
208,"UPDATE"
209,"MarkitUPDATE"
209,"UPDATE"
476,Social Security
477,Social Security
478,Social Security
479,Social Security
480,Social Security
481,Social Security
482,Social Security
483,Social Security
484,Social Security
485,Social Security
486,Social Security
487,Social Security
488,Social Security
489,Social Security
490,Social Security
491,Social Security
492,Social Security
493,Social Security
494,Social Security
495,Social Security
496,Social Security
497,Social Security
498,Social Security
499,Social Security
500,Social Security
501,Social Security
502,Social Security
662,"Here"
663,"Here"
664,"Here"
665,"Here"
666,"Here"
667,"Here"
668,"Here"
669,"Here"
670,"Here"
671,"Here"
672,"Here"
673,"Here"
674,"Here"
675,"Here"
676,"Here"
776,"Venture"
777,"Venture"
778,"Venture"
779,"Venture"
780,"Venture"
781,"Venture"
782,"Venture"
783,"Venture"
784,"Venture"
785,"Venture"
786,"Venture"
787,"Venture"
788,"Venture"
789,"Venture"
790,"Venture"
791,"Venture"
792,"Venture"
793,"Venture"
794,"Venture"
795,"Venture"
796,"Venture"
797,"Venture"
798,"Venture"
799,"Venture"
1424,Heritage Action
1425,Heritage Action
1426,Heritage Action
1427,Heritage Action
1428,Heritage Action
1429,Heritage Action
1430,Heritage Action
1431,Heritage Action
1432,Heritage Action
1433,Heritage Action
1434,Heritage Action
1435,Heritage Action
1436,Heritage Action
1520,President Obama
1521,President Obama
1522,President Obama
1523,President Obama
1524,President Obama
1525,President Obama
1526,President Obama
1527,President Obama
1528,President Obama
1529,President Obama
1530,President Obama
1531,President Obama
1532,President Obama
1533,President Obama
1534,President Obama
2111,Brendan Hoffman
2112,Brendan Hoffman
2113,Brendan Hoffman
2114,Brendan Hoffman
2115,Brendan Hoffman
2116,Brendan Hoffman
2117,Brendan Hoffman
2118,Brendan Hoffman
2119,Brendan Hoffman
2120,Brendan Hoffman
2121,Brendan Hoffman
2122,Brendan Hoffman
2123,Brendan Hoffman
2124,Brendan Hoffman
2125,Brendan Hoffman
2126,Brendan Hoffman
2127,Brendan Hoffman
2128,Brendan Hoffman
2129,Brendan Hoffman
2189,Steven Englander
2190,Steven Englander
2191,Steven Englander
2192,Steven Englander
2193,Steven Englander
2194,Steven Englander
2195,Steven Englander
2196,Steven Englander
2197,Steven Englander
2198,Steven Englander
2199,Steven Englander
2200,Steven Englander
2201,Steven Englander
2202,Steven Englander
2203,Steven Englander
2204,Steven Englander
2205,Steven Englander
2206,Steven Englander
2207,Steven Englander
2208,Steven Englander
2209,Steven Englander
2210,Steven Englander
2211,Steven Englander
2212,Steven Englander
2213,Steven Englander
2214,Steven Englander
2215,Steven Englander
2216,Steven Englander
2217,Steven Englander
2218,Steven Englander
2219,Steven Englander
2220,Steven Englander
2221,Steven Englander
2222,Steven Englander
2223,Steven Englander
2224,Steven Englander
2225,Steven Englander
2226,Steven Englander
2227,Steven Englander
2228,Steven Englander
2332,WikipediaBurton Malkiel
2333,WikipediaBurton Malkiel
2334,WikipediaBurton Malkiel
2335,WikipediaBurton Malkiel
2336,WikipediaBurton Malkiel
2337,WikipediaBurton Malkiel
2338,WikipediaBurton Malkiel
2339,WikipediaBurton Malkiel
2340,WikipediaBurton Malkiel
2341,WikipediaBurton Malkiel
2342,WikipediaBurton Malkiel
2343,WikipediaBurton Malkiel
2344,WikipediaBurton Malkiel
2345,WikipediaBurton Malkiel
2346,WikipediaBurton Malkiel
2347,WikipediaBurton Malkiel
2348,WikipediaBurton Malkiel
2349,WikipediaBurton Malkiel
2350,WikipediaBurton Malkiel
2351,WikipediaBurton Malkiel
2352,WikipediaBurton Malkiel
2353,WikipediaBurton Malkiel
2354,WikipediaBurton Malkiel
2355,WikipediaBurton Malkiel
2356,WikipediaBurton Malkiel
2357,WikipediaBurton Malkiel
2358,WikipediaBurton Malkiel
2833,Business Insider
2834,Business Insider
2835,Business Insider
2836,Business Insider
2837,Business Insider
2838,Business Insider
2839,Business Insider
2840,Business Insider
2841,Business Insider
2842,Business Insider
2843,Business Insider
2844,Business Insider
2845,Business Insider
2846,Business Insider
2847,Business Insider
2848,Business Insider
2849,Business Insider
2850,Business Insider
2851,Business Insider
2852,Business Insider
2853,Business Insider
2854,Business Insider
2855,Business Insider
2856,Business Insider
2857,Business Insider
2932,Sports Illustrated
2933,Sports Illustrated
2934,Sports Illustrated
2935,Sports Illustrated
2936,Sports Illustrated
2937,Sports Illustrated
2938,Sports Illustrated
2939,Sports Illustrated
2940,Sports Illustrated
2941,Sports Illustrated
2942,Sports Illustrated
2943,Sports Illustrated
2944,Sports Illustrated
2945,Sports Illustrated
2946,Sports Illustrated
2947,Sports Illustrated
2948,Sports Illustrated
2949,Sports Illustrated
2950,Sports Illustrated
2951,Sports Illustrated
2952,Sports Illustrated
2953,Sports Illustrated
2954,Sports Illustrated
2955,Sports Illustrated
2956,Sports Illustrated
2957,Sports Illustrated
2958,Sports Illustrated
2959,Sports Illustrated
2960,Sports Illustrated
2961,Sports Illustrated
2962,Sports Illustrated
2963,Sports Illustrated
2964,Sports Illustrated
2965,Sports Illustrated
2966,Sports Illustrated
2967,Sports Illustrated
3348,Jeremy Grantham
3349,Jeremy Grantham
3350,Jeremy Grantham
3351,Jeremy Grantham
3352,Jeremy Grantham
3353,Jeremy Grantham
3354,Jeremy Grantham
3355,Jeremy Grantham
3356,Jeremy Grantham
3357,Jeremy Grantham
3358,Jeremy Grantham
3359,Jeremy Grantham
3360,Jeremy Grantham
3361,Jeremy Grantham
3362,Jeremy Grantham
3363,Jeremy Grantham
3364,Jeremy Grantham
3365,Jeremy Grantham
3366,Jeremy Grantham
3367,Jeremy Grantham
3368,Jeremy Grantham
3369,Jeremy Grantham
3370,Jeremy Grantham
3371,Jeremy Grantham
3372,Jeremy Grantham
3373,Jeremy Grantham
3374,Jeremy Grantham
3375,Jeremy Grantham
3376,Jeremy Grantham
3377,Jeremy Grantham
3378,Jeremy Grantham
3379,Jeremy Grantham
3380,Jeremy Grantham
3381,Jeremy Grantham
3382,Jeremy Grantham
3383,Jeremy Grantham
3384,Jeremy Grantham
3385,Jeremy Grantham
3386,Jeremy Grantham
3512,Chris Brightman
3513,Chris Brightman
3514,Chris Brightman
3515,Chris Brightman
3516,Chris Brightman
3517,Chris Brightman
3518,Chris Brightman
3519,Chris Brightman
3520,Chris Brightman
3521,Chris Brightman
3522,Chris Brightman
3523,Chris Brightman
3524,Chris Brightman
3525,Chris Brightman
3526,Chris Brightman
3527,Chris Brightman
3528,Chris Brightman
3529,Chris Brightman
3530,Chris Brightman
3531,Chris Brightman
3532,Chris Brightman
3533,Chris Brightman
3712,Probable Outcomes
3713,Probable Outcomes
3714,Probable Outcomes
3715,Probable Outcomes
3716,Probable Outcomes
3717,Probable Outcomes
3718,Probable Outcomes
3719,Probable Outcomes
3720,Probable Outcomes
3721,Probable Outcomes
3722,Probable Outcomes
3723,Probable Outcomes
3724,Probable Outcomes
3725,Probable Outcomes
3726,Probable Outcomes
3727,Probable Outcomes
3728,Probable Outcomes
4742,Historical Growth
4743,Historical Growth
4744,Historical Growth
4745,Historical Growth
4746,Historical Growth
4747,Historical Growth
4748,Historical Growth
4749,Historical Growth
4750,Historical Growth
4751,Historical Growth
4752,Historical Growth
4753,Historical Growth
4754,Historical Growth
4755,Historical Growth
4756,Historical Growth
4757,Historical Growth
4758,Historical Growth
4759,Historical Growth
4760,Historical Growth
4761,Historical Growth
4762,Historical Growth
4763,Historical Growth
4764,Historical Growth
4765,Historical Growth
4766,Historical Growth
4767,Historical Growth
4768,Historical Growth
4769,Historical Growth
4770,Historical Growth
6164,Unexpected Returns
6165,Unexpected Returns
6166,Unexpected Returns
6167,Unexpected Returns
6168,Unexpected Returns
6169,Unexpected Returns
6170,Unexpected Returns
6171,Unexpected Returns
6172,Unexpected Returns
6173,Unexpected Returns
6174,Unexpected Returns
6175,Unexpected Returns
6176,Unexpected Returns
6177,Unexpected Returns
6178,Unexpected Returns
6179,Unexpected Returns
6180,Unexpected Returns
6181,Unexpected Returns
6182,Unexpected Returns
6183,Unexpected Returns
6184,Unexpected Returns
6411,David Rosenberg
6412,David Rosenberg
6413,David Rosenberg
6414,David Rosenberg
6415,David Rosenberg
6416,David Rosenberg
6417,David Rosenberg
6418,David Rosenberg
6419,David Rosenberg
6420,David Rosenberg
6421,David Rosenberg
6422,David Rosenberg
6423,David Rosenberg
7210,Social Security
7211,Social Security
7212,Social Security
7213,Social Security
7214,Social Security
7215,Social Security
7216,Social Security
7217,Social Security
7218,Social Security
7219,Social Security
7220,Social Security
7221,Social Security
7222,Social Security
7223,Social Security
7224,Social Security
7225,Social Security
7226,Social Security
7227,Social Security
7228,Social Security
7229,Social Security
7230,Social Security
7231,Social Security
7232,Social Security
7233,Social Security
7234,Social Security
7235,Social Security
7236,Social Security
7469,While Republican
7470,While Republican
7471,While Republican
7472,While Republican
7473,While Republican
7474,While Republican
7475,While Republican
7476,While Republican
7477,While Republican
7478,While Republican
7479,While Republican
7480,While Republican
7481,While Republican
7578,Although Florida
7579,Although Florida
7580,Although Florida
7581,Although Florida
7582,Although Florida
7583,Although Florida
7584,Although Florida
7585,Although Florida
7586,Although Florida
7587,Although Florida
7588,Although Florida
7589,Although Florida
8419,Continuing Resolution
8420,Continuing Resolution
8421,Continuing Resolution
8422,Continuing Resolution
8423,Continuing Resolution
8424,Continuing Resolution
8425,Continuing Resolution
8426,Continuing Resolution
8427,Continuing Resolution
8428,Continuing Resolution
8429,Continuing Resolution
