index,word
8995,Cascade Investment
8995, Investment
8996,Cascade Investment
8996, Investment
8997,Cascade Investment
8997, Investment
8998,Cascade Investment
8998, Investment
8999,Cascade Investment
8999, Investment
9000,Cascade Investment
9000, Investment
9001,Cascade Investment
9001, Investment
9002,Cascade Investment
9002, Investment
9003,Cascade Investment
9003, Investment
9004,Cascade Investment
9004, Investment
9005,Cascade Investment
9005, Investment
9006,Cascade Investment
9006, Investment
9007,Cascade Investment
9007, Investment
9008,Cascade Investment
9008, Investment
9009,Cascade Investment
9009, Investment
9010,Cascade Investment
9010, Investment
9628,The Antelope Valley Solar
9628, Solar
9629,The Antelope Valley Solar
9629, Solar
9630,The Antelope Valley Solar
9630, Solar
9631,The Antelope Valley Solar
9631, Solar
9632,The Antelope Valley Solar
9632, Solar
9633,The Antelope Valley Solar
9633, Solar
9634,The Antelope Valley Solar
9634, Solar
9635,The Antelope Valley Solar
9635, Solar
9636,The Antelope Valley Solar
9636, Solar
9637,The Antelope Valley Solar
9637, Solar
9638,The Antelope Valley Solar
9638, Solar
9639,The Antelope Valley Solar
9639, Solar
9640,The Antelope Valley Solar
9640, Solar
9641,The Antelope Valley Solar
9641, Solar
9642,The Antelope Valley Solar
9642, Solar
9643,The Antelope Valley Solar
9643, Solar
9644,The Antelope Valley Solar
9644, Solar
9645,The Antelope Valley Solar
9645, Solar
9646,The Antelope Valley Solar
9646, Solar
9647,The Antelope Valley Solar
9647, Solar
9648,The Antelope Valley Solar
9648, Solar
9649,The Antelope Valley Solar
9649, Solar
9650,The Antelope Valley Solar
9650, Solar
9651,The Antelope Valley Solar
9651, Solar
9652,The Antelope Valley Solar
9652, Solar
9653,The Antelope Valley Solar
9653, Solar
9654,The Antelope Valley Solar
9654, Solar
9655,The Antelope Valley Solar
9655, Solar
9656,The Antelope Valley Solar
9656, Solar
9657,The Antelope Valley Solar
9657, Solar
9658,The Antelope Valley Solar
9658, Solar
9659,The Antelope Valley Solar
9659, Solar
15040,Investment Adventures
15040, Adventures
15041,Investment Adventures
15041, Adventures
15042,Investment Adventures
15042, Adventures
15043,Investment Adventures
15043, Adventures
15044,Investment Adventures
15044, Adventures
15045,Investment Adventures
15045, Adventures
15046,Investment Adventures
15046, Adventures
15047,Investment Adventures
15047, Adventures
15048,Investment Adventures
15048, Adventures
15049,Investment Adventures
15049, Adventures
15050,Investment Adventures
15050, Adventures
15051,Investment Adventures
15051, Adventures
15052,Investment Adventures
15052, Adventures
15053,Investment Adventures
15053, Adventures
15054,Investment Adventures
15054, Adventures
15055,Investment Adventures
15055, Adventures
15056,Investment Adventures
15056, Adventures
15057,Investment Adventures
15057, Adventures
15058,Investment Adventures
15058, Adventures
15059,Investment Adventures
15059, Adventures
15060,Investment Adventures
15060, Adventures
15061,Investment Adventures
15061, Adventures
15062,Investment Adventures
15062, Adventures
15063,Investment Adventures
15063, Adventures
16345, LLC
16346, LLC
16347, LLC
16348, LLC
16349, LLC
16350, LLC
16351, LLC
16352, LLC
16353, LLC
16354, LLC
16355, LLC
16356, LLC
16357, LLC
16358, LLC
16359, LLC
16360, LLC
16361, LLC
16362, LLC
16363, LLC
16364, LLC
16365, LLC
16366, LLC
16367, LLC
16368, LLC
16369, LLC
16745,Carlyle Group
16745, Group
16746,Carlyle Group
16746, Group
16747,Carlyle Group
16747, Group
16748,Carlyle Group
16748, Group
16749,Carlyle Group
16749, Group
16750,Carlyle Group
16750, Group
16751,Carlyle Group
16751, Group
16752,Carlyle Group
16752, Group
16753,Carlyle Group
16753, Group
16754,Carlyle Group
16754, Group
16755,Carlyle Group
16755, Group
16756,Carlyle Group
16756, Group
16757,Carlyle Group
16757, Group
16758,Carlyle Group
16758, Group
16759,Carlyle Group
16759, Group
16760,Carlyle Group
16760, Group
16761,Carlyle Group
16761, Group
16762,Carlyle Group
16762, Group
16763,Carlyle Group
16763, Group
16764,Carlyle Group
16764, Group
17645,Warren E
17645, E
17646,Warren E
17646, E
17647,Warren E
17647, E
17648,Warren E
17648, E
17649,Warren E
17649, E
17650,Warren E
17650, E
17651,Warren E
17651, E
17652,Warren E
17652, E
17653,Warren E
17653, E
17654,Warren E
17654, E
17655,Warren E
17655, E
17656,Warren E
17656, E
17657,Warren E
17657, E
17752,Eurasia Group
17752, Group
17753,Eurasia Group
17753, Group
17754,Eurasia Group
17754, Group
17755,Eurasia Group
17755, Group
17756,Eurasia Group
17756, Group
17757,Eurasia Group
17757, Group
17758,Eurasia Group
17758, Group
17759,Eurasia Group
17759, Group
17760,Eurasia Group
17760, Group
17761,Eurasia Group
17761, Group
17762,Eurasia Group
17762, Group
17763,Eurasia Group
17763, Group
17764,Eurasia Group
17764, Group
17765,Eurasia Group
17765, Group
17766,Eurasia Group
17766, Group
17767,Eurasia Group
17767, Group
17768,Eurasia Group
17768, Group
17769,Eurasia Group
17769, Group
17770,Eurasia Group
17770, Group
17771,Eurasia Group
17771, Group
22559,From Bloomberg
22559, Bloomberg
22560,From Bloomberg
22560, Bloomberg
22561,From Bloomberg
22561, Bloomberg
22562,From Bloomberg
22562, Bloomberg
22563,From Bloomberg
22563, Bloomberg
22564,From Bloomberg
22564, Bloomberg
22565,From Bloomberg
22565, Bloomberg
22566,From Bloomberg
22566, Bloomberg
22567,From Bloomberg
22567, Bloomberg
22568,From Bloomberg
22568, Bloomberg
22569,From Bloomberg
22569, Bloomberg
22570,From Bloomberg
22570, Bloomberg
22571,From Bloomberg
22571, Bloomberg
22572,From Bloomberg
22572, Bloomberg
22573,From Bloomberg
22573, Bloomberg
22574,From Bloomberg
22574, Bloomberg
22575,From Bloomberg
22575, Bloomberg
22576,From Bloomberg
22576, Bloomberg
22577,From Bloomberg
22577, Bloomberg
22578,From Bloomberg
22578, Bloomberg
22579,From Bloomberg
22579, Bloomberg
22580,From Bloomberg
22580, Bloomberg
22581,From Bloomberg
22581, Bloomberg
22582,From Bloomberg
22582, Bloomberg
22583,From Bloomberg
22583, Bloomberg
22584,From Bloomberg
22584, Bloomberg
22585,From Bloomberg
22585, Bloomberg
22586,From Bloomberg
22586, Bloomberg
22587,From Bloomberg
22587, Bloomberg
22588,From Bloomberg
22588, Bloomberg
22589,From Bloomberg
22589, Bloomberg
22590,From Bloomberg
22590, Bloomberg
22591,From Bloomberg
22591, Bloomberg
22592,From Bloomberg
22592, Bloomberg
22593,From Bloomberg
22593, Bloomberg
22594,From Bloomberg
22594, Bloomberg
22595,From Bloomberg
22595, Bloomberg
22596,From Bloomberg
22596, Bloomberg
22597,From Bloomberg
22597, Bloomberg
22598,From Bloomberg
22598, Bloomberg
22599,From Bloomberg
22599, Bloomberg
22600,From Bloomberg
22600, Bloomberg
22601,From Bloomberg
22601, Bloomberg
22602,From Bloomberg
22602, Bloomberg
22603,From Bloomberg
22603, Bloomberg
22604,From Bloomberg
22604, Bloomberg
22605,From Bloomberg
22605, Bloomberg
22606,From Bloomberg
22606, Bloomberg
22607,From Bloomberg
22607, Bloomberg
22608,From Bloomberg
22608, Bloomberg
22609,From Bloomberg
22609, Bloomberg
22610,From Bloomberg
22610, Bloomberg
22611,From Bloomberg
22611, Bloomberg
22612,From Bloomberg
22612, Bloomberg
22613,From Bloomberg
22613, Bloomberg
22614,From Bloomberg
22614, Bloomberg
22615,From Bloomberg
22615, Bloomberg
22616,From Bloomberg
22616, Bloomberg
22617,From Bloomberg
22617, Bloomberg
22618,From Bloomberg
22618, Bloomberg
22619,From Bloomberg
22619, Bloomberg
22620,From Bloomberg
22620, Bloomberg
22621,From Bloomberg
22621, Bloomberg
22622,From Bloomberg
22622, Bloomberg
22623,From Bloomberg
22623, Bloomberg
22624,From Bloomberg
22624, Bloomberg
22625,From Bloomberg
22625, Bloomberg
22626,From Bloomberg
22626, Bloomberg
22627,From Bloomberg
22627, Bloomberg
22628,From Bloomberg
22628, Bloomberg
22629,From Bloomberg
22629, Bloomberg
22630,From Bloomberg
22630, Bloomberg
22631,From Bloomberg
22631, Bloomberg
22632,From Bloomberg
22632, Bloomberg
22633,From Bloomberg
22633, Bloomberg
22634,From Bloomberg
22634, Bloomberg
22635,From Bloomberg
22635, Bloomberg
22636,From Bloomberg
22636, Bloomberg
22758,DoubleLine Equity LP
22758, LP
22759,DoubleLine Equity LP
22759, LP
22760,DoubleLine Equity LP
22760, LP
